"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"41",1,0,0,0,30,30,"(0.8,1]"
"42",1,0,0,0,30,30,"(0.8,1]"
"43",1,0,0,0,30,30,"(0.8,1]"
"44",1,0,0,0,30,30,"(0.8,1]"
"45",1,0,0,0,30,30,"(0.8,1]"
"46",1,0,0,0,30,30,"(0.8,1]"
"47",1,0,0,0,30,30,"(0.8,1]"
"48",1,0,0,0,30,30,"(0.8,1]"
"49",1,0,0,0,30,30,"(0.8,1]"
"50",1,0,0,0,30,30,"(0.8,1]"
"51",1,0,0,0,30,30,"(0.8,1]"
"52",1,0,0,0,30,30,"(0.8,1]"
"53",1,0,0,0,30,30,"(0.8,1]"
"54",1,0,0,0,30,30,"(0.8,1]"
"55",1,0,0,0,30,30,"(0.8,1]"
"56",1,0,0,0,30,30,"(0.8,1]"
"57",1,0,0,0,30,30,"(0.8,1]"
"58",1,0,0,0,30,30,"(0.8,1]"
"59",1,0,0,0,30,30,"(0.8,1]"
"60",1,0,0,0,30,30,"(0.8,1]"
"61",1,0,0,0,30,30,"(0.8,1]"
"62",1,0,0,0,30,30,"(0.8,1]"
"63",1,0,0,0,30,30,"(0.8,1]"
"64",1,0,0,0,30,30,"(0.8,1]"
"65",1,0,0,0,30,30,"(0.8,1]"
"66",1,0,0,0,30,30,"(0.8,1]"
"67",1,0,0,0,30,30,"(0.8,1]"
"68",1,0,0,0,30,30,"(0.8,1]"
"69",1,0,0,0,30,30,"(0.8,1]"
"70",1,0,0,0,30,30,"(0.8,1]"
"71",1,0,0,0,30,30,"(0.8,1]"
"72",1,0,0,0,30,30,"(0.8,1]"
"73",1,0,0,0,30,30,"(0.8,1]"
"74",1,0,0,0,30,30,"(0.8,1]"
"75",1,0,0,0,30,30,"(0.8,1]"
"76",1,0,0,0,30,30,"(0.8,1]"
"77",1,0,0,0,30,30,"(0.8,1]"
"78",1,0,0,0,30,30,"(0.8,1]"
"79",1,0,0,0,30,30,"(0.8,1]"
"80",1,0,0,0,30,30,"(0.8,1]"
"81",1,0,0,0,30,30,"(0.8,1]"
"82",1,0,0,0,30,30,"(0.8,1]"
"83",1,0,0,0,30,30,"(0.8,1]"
"84",1,0,0,0,30,30,"(0.8,1]"
"85",1,0,0,0,30,30,"(0.8,1]"
"86",1,0,0,0,30,30,"(0.8,1]"
"87",1,0,0,0,30,30,"(0.8,1]"
"88",1,0,0,0,30,30,"(0.8,1]"
"89",1,0,0,0,30,30,"(0.8,1]"
"90",1,0,0,0,30,30,"(0.8,1]"
"91",1,0,0,0,30,30,"(0.8,1]"
"92",1,0,0,0,30,30,"(0.8,1]"
"93",1,0,0,0,30,30,"(0.8,1]"
"94",1,0,0,0,30,30,"(0.8,1]"
"95",1,0,0,0,30,30,"(0.8,1]"
"96",1,0,0,0,30,30,"(0.8,1]"
"97",1,0,0,0,30,30,"(0.8,1]"
"98",1,0,0,0,30,30,"(0.8,1]"
"99",1,0,0,0,30,30,"(0.8,1]"
"100",1,0,0,0,30,30,"(0.8,1]"
"101",1,0,0,0,30,30,"(0.8,1]"
"102",1,0,0,0,30,30,"(0.8,1]"
"103",1,0,0,0,30,30,"(0.8,1]"
"104",1,0,0,0,30,30,"(0.8,1]"
"105",1,0,0,0,30,30,"(0.8,1]"
"106",1,0,0,0,30,30,"(0.8,1]"
"107",1,0,0,0,30,30,"(0.8,1]"
"108",1,0,0,0,30,30,"(0.8,1]"
"109",1,0,0,0,30,30,"(0.8,1]"
"110",1,0,0,0,30,30,"(0.8,1]"
